customer_city,order_id,payment_value
sao paulo,15540,2203373.09
rio de janeiro,6882,1161927.36
belo horizonte,2773,421765.12
brasilia,2131,354216.77999999997
curitiba,1521,247392.48
porto alegre,1379,224731.42
salvador,1245,218071.5
campinas,1444,216248.43
guarulhos,1189,165121.99
niteroi,849,139996.99
goiania,692,125494.6
sao bernardo do campo,938,120434.84
fortaleza,654,119863.47
santos,713,112343.17
recife,613,110745.23
florianopolis,570,106512.16
santo andre,797,105627.09
belem,447,96881.76
osasco,746,94358.72
jundiai,565,93038.64
sao jose dos campos,691,91637.75
sorocaba,633,88337.5
juiz de fora,427,75830.85
ribeirao preto,510,75798.71
nova iguacu,442,71044.83
campo grande,320,67000.32
sao luis,353,64499.84
joao pessoa,256,63353.63
vitoria,380,62926.26
sao goncalo,409,61852.97
teresina,281,60625.46
barueri,433,59969.68
piracicaba,369,59774.42
mogi das cruzes,383,59354.69
contagem,426,58947.14
uberlandia,374,57103.35
vila velha,334,56443.68
londrina,306,54496.04
sao jose do rio preto,335,53976.56
maceio,247,53170.76
maua,323,48763.63
praia grande,316,47413.01
cuiaba,248,47117.159999999996
aracaju,225,46812.73
bauru,273,45175.83
maringa,271,45171.45
caxias do sul,224,44321.35
natal,207,43606.49
serra,285,42965.77
indaiatuba,280,42055.8
taboao da serra,296,41237.53
joinville,264,41030.38
duque de caxias,266,40276.37
campos dos goytacazes,238,40212.11
petropolis,240,39807.7
volta redonda,232,39114.51
divinopolis,137,38970.08
macae,239,38751.06
carapicuiba,328,37641.46
marilia,196,37493.97
santa maria,197,37336.83
sao caetano do sul,277,36936.64
cotia,250,36095.5
taubate,270,35299.0
sao carlos,241,35271.18
betim,203,34507.0
diadema,286,34301.2
guaruja,226,33837.55
uberaba,191,33426.95
feira de santana,185,32466.8
canoas,210,32014.76
nova friburgo,152,31738.41
montes claros,211,31546.54
presidente prudente,161,29988.07
blumenau,188,29278.17
porto velho,113,29253.63
suzano,234,29181.65
americana,224,28948.54
cascavel,153,28904.35
pelotas,186,27619.14
limeira,190,27236.59
santana de parnaiba,185,26814.8
ipatinga,171,26176.78
manaus,140,25913.57
franca,161,25896.09
jaboatao dos guararapes,135,25672.86
valinhos,183,25660.62
sumare,183,25162.78
sao jose,169,24581.31
governador valadares,141,24444.19
palmas,110,24281.2
pouso alegre,131,24195.41
atibaia,159,24181.1
sao vicente,165,24119.81
rio das ostras,137,23941.41
rio claro,157,23714.079999999998
embu das artes,165,23321.16
barra mansa,123,23302.02
nova lima,98,23287.83
araraquara,155,23223.69
novo hamburgo,123,23086.84
braganca paulista,146,22916.41
campina grande,68,22783.29
ponta grossa,143,22282.28
sao joao de meriti,134,22184.56
itajai,120,22135.56
itaquaquecetuba,172,22052.57
gravatai,112,21719.36
jacarei,194,21660.84
angra dos reis,85,21654.73
ananindeua,88,21236.85
itapevi,170,21190.41
cariacica,139,20750.88
sete lagoas,128,20704.5
teresopolis,120,20358.31
pocos de caldas,122,20316.2
cabo frio,117,20223.760000000002
anapolis,113,20165.89
vitoria da conquista,92,19921.4
aracatuba,141,19704.66
rio grande,125,19578.41
balneario camboriu,100,19408.89
patos de minas,100,19349.55
cachoeiro de itapemirim,122,19231.25
araruama,77,19196.05
botucatu,101,19053.07
paulinia,130,18892.76
marica,139,18870.87
vicosa,91,18792.34
mage,111,18762.55
hortolandia,145,18748.57
passo fundo,113,18163.87
sao jose dos pinhais,133,17946.239999999998
criciuma,93,17934.61
chapeco,103,17750.73
ferraz de vasconcelos,111,17635.78
rio branco,74,17137.64
guaratingueta,98,17042.43
aparecida de goiania,110,16992.24
petrolina,65,16959.22
birigui,79,16694.84
belford roxo,111,16556.0
ourinhos,80,16507.83
itajuba,94,16505.2
resende,117,16496.72
varginha,89,16340.99
nilopolis,107,16117.68
itu,136,16113.28
caraguatatuba,89,15757.32
olinda,93,15650.04
jaragua do sul,89,15357.91
caieiras,102,15343.87
araxa,78,15309.24
lavras,83,15307.96
ribeirao das neves,101,15213.43
araras,94,15187.25
santa barbara d'oeste,119,15047.49
pindamonhangaba,101,14840.34
santa luzia,100,14615.62
porto seguro,41,14411.11
linhares,65,14326.8
barbacena,80,14321.699999999999
mogi-guacu,93,14240.380000000001
itapetininga,78,14209.93
rondonopolis,65,14105.62
sobral,36,13908.71
foz do iguacu,87,13902.67
assis,84,13819.31
lages,85,13718.85
macapa,54,13666.03
sao joao da boa vista,82,13661.66
itatiba,97,13634.02
palhoca,95,13625.31
sao leopoldo,105,13331.05
amparo,67,13140.74
tatui,75,12968.59
barreiras,52,12952.73
varzea paulista,80,12789.56
itabira,79,12748.3
muriae,64,12616.09
caruaru,64,12579.23
sao sebastiao,61,12526.32
itanhaem,80,12374.08
votorantim,85,12245.15
cajamar,101,12224.92
salto,95,12211.08
rio verde,67,12178.65
tubarao,60,12130.98
araguari,54,12048.94
valenca,63,12046.22
guarapari,67,12021.14
santa cruz do sul,62,11974.65
franco da rocha,109,11893.33
ribeirao pires,109,11817.39
cacapava,74,11737.66
toledo,71,11736.79
gaspar,30,11633.61
bage,65,11599.130000000001
vinhedo,95,11566.13
parnamirim,63,11493.95
catanduva,75,11430.289999999999
jatai,54,11337.93
lauro de freitas,75,11278.61
caratinga,62,11211.45
conselheiro lafaiete,84,11192.38
sao roque,79,11018.29
ilheus,72,11018.06
mesquita,76,11004.89
jau,74,10993.16
cachoeirinha,72,10975.34
francisco morato,100,10971.21
barretos,73,10860.64
paranagua,60,10854.44
poa,85,10803.789999999999
bertioga,49,10651.039999999999
dourados,64,10612.85
pato branco,53,10599.58
