order_purchase_timestamp,order_count,revenue
September 2016,4,252.24
October 2016,324,59090.48
November 2016,0,0.0
December 2016,1,19.62
January 2017,800,138488.04
February 2017,1780,291908.01
March 2017,2682,449863.6
April 2017,2404,417788.03
May 2017,3700,592918.82
June 2017,3245,511276.38
July 2017,4026,592382.92
August 2017,4331,674396.32
September 2017,4285,727762.45
October 2017,4631,779677.88
November 2017,7544,1194882.8
December 2017,5673,878401.48
January 2018,7269,1115004.18
February 2018,6728,992463.34
March 2018,7211,1159652.12
April 2018,6939,1160785.48
May 2018,6873,1153982.15
June 2018,6167,1023880.5
July 2018,6292,1066540.75
August 2018,6512,1022425.32
September 2018,16,4439.54
October 2018,4,589.67
